GenreName
Action and adventure
Art/architecture
Alternate history
Autobiography
Anthology
Biography
Chick lit
Business/economics
Children's
Crafts/hobbies
Classic
Cookbook
Comic book
Diary
Coming-of-age
Dictionary
Crime
Encyclopedia
Drama
Guide
Fairytale
Health/fitness
Fantasy
History
Graphic novel
Home and garden
Historical fiction
Humor
Horror
Journal
Mystery
Math
Paranormal romance
Memoir
Picture book
Philosophy
Poetry
Prayer
Political thriller
Religion
Spirituality
New Age
Romance
Textbook
Satire
True crime
Science fiction
Review
Short story
Science
Suspense
Self help
Thriller
Sports and leisure
Western
Travel
Young adult
Food
Politics
Self-Help
Young Adult
Children’s Books
Crime Thriller
Literary Fiction
Science Fiction
Contemporary
Dystopian
Magical Realism
Dark Fantasy
Heroic Fantasy
High Fantasy
Historical Fantasy
Low Fantasy
Mythic Fantasy
Urban Fantasy
Graphic Novel
Historical Fiction
Historical romance
Horror Fiction
Body Horror
Gothic Horror
Lovecraftian Horror
Paranormal Horror
Psychological Horror
Slasher Horror
Quiet Horror
LGBTQ+ Fiction
Mystery Fiction
Detective Fiction
Noir
Supernatural Mystery
Contemporary romance
Erotic Romance
Gothic Romance
Historical Romance
Paranormal Romance
Regency Romance
Romantic Suspense
Time Travel
Apocalyptic
Colonization
Steampunk
Space Opera
Parallel/Alternate Worlds
Short Story
Conspiracy
Disaster
Espionage
Forensic
Historical Thriller
Legal Thriller
Paranormal Thriller
Psychological Thriller
Religious Thriller
Utopian
Art and Photography
Cooking
Historical Nonfiction
How-to and DIY
Parenting
True Crime
